,text,favorite_count,id,retweet_count,created_at,brand,total_activity,compressed_dates2,compressed_dates5
0,A message from the #Warcraft team. https://t.co/3gWCz1gu8T,8022,1420129038912278529,1303,07/27,WoW,9325,07/28,07/25
0,"RT @WoWEsports: The Burning Crusade Classic Arena Tournament begins THIS FRIDAY! 😼

Find everything you need to know here ⬇️
https://t.co/8…",0,1418017369457311747,24,07/22,WoW,24,07/22,07/20
0,"Hi, my name is... https://t.co/2k1iqwhClF",5998,1417953425921294336,507,07/21,WoW,6505,07/20,07/20
0,"RT @Zmangames_: https://t.co/dKiKMFiOSA
Announcing World of Warcraft: Wrath of the Lich King – A Pandemic System Game from @Blizzard_Ent an…",0,1417899450748391424,29,07/21,WoW,29,07/20,07/20
0,@OneSoloPlayer Don't worry. Everyone is familiar with the Spirit Healer.,32,1417653438314332162,0,07/21,WoW,32,07/20,07/20
0,@jchaser16 🎯,0,1417653331670052867,0,07/21,WoW,0,07/20,07/20
0,@ryusphinxx The best memories.,2,1417653185397895168,0,07/21,WoW,2,07/20,07/20
0,@thac0_salad Facts. 📠,2,1417653059392581640,0,07/21,WoW,2,07/20,07/20
0,@chrissyxchi Noted..?,715,1417652931470442501,17,07/21,WoW,732,07/20,07/20
0,No one is safe... https://t.co/UgCvU3JPxG,2527,1417590139367219201,201,07/20,WoW,2728,07/20,07/20
0,"RT @dragumagu: - Karazhan -

#wow #worldofwarcraft #warcraft #WoWClassic  #pixelart #burningcrusade https://t.co/TIx6Qjy9xJ",0,1417586957677436933,312,07/20,WoW,312,07/20,07/20
0,"We have a winner!

Congrats to @EchoGuild for clearing Mythic Sanctum of Domination and winning the Race to World F… https://t.co/vVc1pD7YMg",3096,1417531069801418755,179,07/20,WoW,3275,07/20,07/20
0,@CoffeeCatPlays The Archon is flattered.,3,1417294043168616453,0,07/20,WoW,3,07/20,07/20
0,@mrlachyg Nice.,8,1417293845801353222,0,07/20,WoW,8,07/20,07/20
0,@ConnorJJames Very spiky horse and mog. 🗡,3,1417293668080312320,0,07/20,WoW,3,07/20,07/20
0,@CondorWoWTV Dedication pays off! Big grats.,3,1417293484298489857,0,07/20,WoW,3,07/20,07/20
0,@side_questress The Blood of Mannoroth pales in comparison.,146,1417293234301112322,3,07/20,WoW,149,07/20,07/20
0,Show off your favorite 9.1 mog and 9.1 mount together for this week's #MogMonday! https://t.co/t1RVHBUcGr,546,1417137156695367682,36,07/19,WoW,582,07/20,07/20
0,Brb. https://t.co/QbPrtAfAeU,1435,1416820063601106949,119,07/18,WoW,1554,07/18,07/20
0,You can't sneeze if you're unconscious. https://t.co/tCdt7a24P7,2302,1416502976785620994,267,07/17,WoW,2569,07/16,07/15
0,You can't sneeze if you're unconscious. https://t.co/tCdt7a24P7,2302,1416502976785620994,267,07/17,WoW,2569,07/16,07/15
0,"Race to World First day four:

@LimitGuild retakes the lead with 8/10
💀 World first Fatescribe Roh-Kalo… https://t.co/TiGL0OXhaP",809,1416205376358395905,56,07/17,WoW,865,07/16,07/15
0,@Drudenkreuz Something like that.,3,1416137671253143557,0,07/16,WoW,3,07/16,07/15
0,"@THUNKDAPEON Thank you, Thunk.",122,1416137215277740048,3,07/16,WoW,125,07/16,07/15
0,@ExpressSkooma Every single day.,6,1416137077939449863,0,07/16,WoW,6,07/16,07/15
0,You and your vegan friend. https://t.co/QcL2tQRhEv,2091,1416095292361936905,126,07/16,WoW,2217,07/16,07/15
0,"RT @WoWEsports: We are proud to present the official Burning Crusade Classic Arena Tournament trailer by @PlatinumWoW654 😼

Watch now! http…",0,1416070230808297476,34,07/16,WoW,34,07/16,07/15
0,"Race to World First day three:

@EchoGuild leads with 7/10 down
💀 World first Painsmith Raznal
💀 World first Guardi… https://t.co/brVL5lF9gv",739,1415844052826824705,62,07/16,WoW,801,07/16,07/15
0,@CoryjTaylor So this is what he needed the money for all along...,12,1415819753646657538,0,07/15,WoW,12,07/16,07/15
0,@Artemishowl_ F,109,1415819610704732160,3,07/15,WoW,112,07/16,07/15
0,"@TwitterGaming Headphones on
game on
World of Warcraft",163,1415819503527677952,11,07/15,WoW,174,07/16,07/15
0,"Available today on the Black Market Auction House. 

Pile of dust not included. https://t.co/YSUz9lzYaC",3362,1415766994964594693,192,07/15,WoW,3554,07/16,07/15
0,"Day two of the Race to World First is coming to a close. 

Here's where things stand:
@LimitGuild &amp; @EchoGuild curr… https://t.co/pNUzdIGou5",482,1415486148030382081,39,07/15,WoW,521,07/16,07/15
0,"Day 17: I have infiltrated their ranks, they have yet to realize I am not one of them. https://t.co/gUvqN2PexC",2959,1415415814505877518,264,07/14,WoW,3223,07/14,07/15
0,"@moontearrs_ Very magic, much colors.",20,1415411415167471621,0,07/14,WoW,20,07/14,07/15
0,@schneissy These are fantastic!,116,1415411302898544643,1,07/14,WoW,117,07/14,07/15
0,@tettles1 You love to see it.,66,1415411085360914434,0,07/14,WoW,66,07/14,07/15
0,"@Ranger_Elvira So as a loyalist, will you be giving it back?",62,1415410814656385030,0,07/14,WoW,62,07/14,07/15
0,@TwitterGaming 👍,57,1415410217840349186,1,07/14,WoW,58,07/14,07/15
0,"Race to World First day one update:

@LimitGuild currently leads with 4/10 down and the world first Remnant of Ner'… https://t.co/LQCP85nRTa",956,1415121115668692995,111,07/14,WoW,1067,07/14,07/15
0,"Race to World First day one update:

@LimitGuild currently leads with 4/10 down and the world first Remnant of Ner'… https://t.co/LQCP85nRTa",956,1415121115668692995,111,07/14,WoW,1067,07/14,07/15
0,"Mythic Sanctum of Domination is unlocking with your region's weekly reset.

Stay tuned as the Race to World First b… https://t.co/x8Qtf2YGWn",264,1414996725467652099,32,07/13,WoW,296,07/12,07/15
0,"The Race to World First: Sanctum of Domination begins this week! 

Stay tuned as the world's top guilds compete to… https://t.co/bItOMYTbOp",1259,1414722404048379904,122,07/12,WoW,1381,07/12,07/10
0,"The MDI is back for #Shadowlands Season 2 with a new format beginning August 18th.
 
Sign ups are open - register n… https://t.co/ZaHXfCwhNm",305,1414660855866736657,28,07/12,WoW,333,07/12,07/10
0,Show off those shades for this week's #MogMonday. 🕶 https://t.co/4V5xKWNCT5,387,1414600477694640129,24,07/12,WoW,411,07/12,07/10
0,So'leah's thirst for power culminates in this final battle. #Shadowlands https://t.co/6jl5JiK35S,196,1414277341728096261,17,07/11,WoW,213,07/12,07/10
0,"Consumed by rage, the pirate queen has unleashed her true form. #Shadowlands https://t.co/v7rFg7u09M",291,1414277305434787843,23,07/11,WoW,314,07/12,07/10
0,"Steal an ancient artifact and awaken its guard, Hylbrande, Sword of the Keepers. https://t.co/fTij8oPJve",112,1414277270592794627,11,07/11,WoW,123,07/12,07/10
0,"Welcome to Tazavesh.

Zo'phex will greet you at the door. #Shadowlands https://t.co/w09NcAvEAh",855,1414277232072220677,65,07/11,WoW,920,07/12,07/10
0,"Steal an ancient artifact and awaken its guard, Hylbrande Sword of the Keepers. https://t.co/SKM7mDMmG3",80,1414268359978401792,5,07/11,WoW,85,07/12,07/10
0,"Plate (LFR, N, H, M) https://t.co/17MnJlPe12",361,1413966572880908296,46,07/10,WoW,407,07/10,07/10
0,"Mail (LFR, N, H, M) https://t.co/4YCbwVNXPU",271,1413966491817586689,28,07/10,WoW,299,07/10,07/10
0,"Leather (LFR, N, H, M) https://t.co/ylh1BAmIZ2",140,1413966413245657089,27,07/10,WoW,167,07/10,07/10
0,"Check out the latest cloth, leather, mail, and plate sets available from Sanctum of Domination. 👇 #Shadowlands

Sta… https://t.co/FZ0CyOLuS2",569,1413966334044610566,53,07/10,WoW,622,07/10,07/10
0,Important announcement: Gromit https://t.co/wIqkjchUhd,3442,1413905870308642817,313,07/10,WoW,3755,07/10,07/10
0,@_Jetsura_ It is beautiful!,5,1413670717850333206,0,07/10,WoW,5,07/10,07/10
0,@wolfy5674 The calming blues of Ardenweald. 💙,5,1413670583456387080,0,07/10,WoW,5,07/10,07/10
0,@Lady_Evernight 💙,0,1413670489680138253,0,07/10,WoW,0,07/10,07/10
0,@Robodragon The Castle looks great from up here.,3,1413670317713731593,0,07/10,WoW,3,07/10,07/10
0,"@weramorwow Nice, grats!",3,1413670192748580869,0,07/10,WoW,3,07/10,07/10
0,"@weramorwow Nice, grats!",3,1413670192748580869,0,07/10,WoW,3,07/10,07/10
0,"Take a trip to Tazavesh and spend your day exploring what the Veiled Market has to offer.

#Shadowlands ⛓ https://t.co/J3Txbt8yqf",700,1413604023115161601,64,07/09,WoW,764,07/8,07/10
0,"A good day to stretch your wings. 🦅

Drop a screenshot of your new favorite view of the #Shadowlands. 👇 https://t.co/E7JAnOpWpV",1037,1413574432443052037,51,07/09,WoW,1088,07/8,07/10
0,@MisterFarce Grats!,4,1413316955562446849,0,07/09,WoW,4,07/8,07/10
0,@liliathings This is a hyper-specific scenario.,2,1413316846498033665,0,07/09,WoW,2,07/8,07/10
0,@ZakKlassen It's all apart of the plan...,99,1413316730265423872,1,07/09,WoW,100,07/8,07/10
0,@mang0catgames The cycle continues.,11,1413316589710098435,1,07/09,WoW,12,07/8,07/10
0,@KottkrigArt Something like that.,151,1413316432616640516,1,07/09,WoW,152,07/8,07/10
0,@TheRealGormey These shoulders also double as can openers.,3,1413316319504703488,0,07/09,WoW,3,07/8,07/10
0,@ThwartedSuitor 1/10 Rescue Souls from the Maw,99,1413316194258636802,1,07/09,WoW,100,07/8,07/10
0,@Chan21708120 A turtle made it to your house!,3,1412947277250011136,0,07/08,WoW,3,07/8,07/10
0,@Coma235 GG!,1,1412947169775169539,0,07/08,WoW,1,07/8,07/10
0,"@BlakeGL Gaming is temporary, the Horde is forever.",6,1412947053240541187,0,07/08,WoW,6,07/8,07/10
0,@abbycwelsh Paladin. ✨,37,1412946923707899907,1,07/08,WoW,38,07/8,07/10
0,"@TheRealNzoth There are bigger fish to fry, N'Zoth.",155,1412946790979080193,3,07/08,WoW,158,07/8,07/10
0,@SharmSong Need to find something to complete the hat trick.,5,1412946642509172739,0,07/08,WoW,5,07/8,07/10
0,"@LittleSparkzLFG Very ""Ardenweald"".",18,1412946523600695304,0,07/08,WoW,18,07/8,07/10
0,RT @Zmangames_: Frostmourne hungers! Can you defeat the dreaded #LichKing? Or will you fall to his power? Watch the first look at this exci…,0,1412839221086363658,31,07/07,WoW,31,07/8,07/5
0,"THIS WEEK IN WARCRAFT
⛓ Sanctum of Domination unlocks
✨ Tazavesh, the Veiled Market opens
🐶 Pet Battle Bonus Event… https://t.co/z6yt6KkjNl",388,1412825766283329540,50,07/07,WoW,438,07/8,07/5
0,"The Sanctum has opened. 

Enter the Jailer's tower on Normal and Heroic, other regions rolling out with weekly rese… https://t.co/bNOeXvdeuj",1287,1412544113040363523,168,07/06,WoW,1455,07/6,07/5
0,"The Sanctum has opened. 

Enter the Jailer's tower on Normal and Heroic, other regions rolling out with weekly rese… https://t.co/bNOeXvdeuj",1287,1412544113040363523,168,07/06,WoW,1455,07/6,07/5
0,@scribblebear Looks like a party.,10,1412505147968831492,0,07/06,WoW,10,07/6,07/5
0,@Coleth_ There may be another chance...,4,1412505037968973824,1,07/06,WoW,5,07/6,07/5
0,@aramisx Looks ready for the beach.,3,1412504915268837384,0,07/06,WoW,3,07/6,07/5
0,@TouchpadWarrior Please spare Rook's Mawrat. This one does not increase your health if you kill it.,14,1412504426556833793,1,07/06,WoW,15,07/6,07/5
0,@haughtychicken The anticipation!,83,1412504305819652100,2,07/06,WoW,85,07/6,07/5
0,@illidarisxo Make sure to keep the saddle on that Shardhide.,11,1412504055214116864,1,07/06,WoW,12,07/6,07/5
0,"Take to the skies with the new Sapphire Skyblazer! 

Included in your 6-month subscription.

https://t.co/ad1hT7k1Co https://t.co/c59iCEPmvC",1261,1411731838058569736,88,07/04,WoW,1349,07/4,07/5
0,@halyonix A mount that can pick your nose!,8,1411135211530854400,0,07/03,WoW,8,07/4,07/5
0,@celluxies Gromit superiority.,16,1411135037974712321,0,07/03,WoW,16,07/4,07/5
0,@THUNKDAPEON Moment of silence for the forsakeys...,68,1411134851042918401,6,07/03,WoW,74,07/4,07/5
0,@wolfinpdx Maybe add an extra 'pet the kitty' in there for good measure.,2,1411134677377765377,0,07/03,WoW,2,07/4,07/5
0,@AlexanderTalb Looks great. Careful with the pointy ends though.,11,1411134504920662023,0,07/03,WoW,11,07/4,07/5
0,@Ranger_Elvira Don't let Tyrande hear you say that...,11,1411134281909522433,0,07/03,WoW,11,07/4,07/5
0,"Kel'Thuzad makes his return, residing high within the Crown of Gorgoa. https://t.co/bOu2CDYBov",332,1411055815977582599,34,07/02,WoW,366,07/2,07/0
0,"Painsmith Raznal has spent eons perfecting the traps within Torghast, relishing in the screams of his victims. https://t.co/rTNLr6RDD4",262,1411055776827908105,21,07/02,WoW,283,07/2,07/0
0,"Remnants of the first Lich King, Ner'zhul's soul has been condemned to everlasting torment. 💀 https://t.co/7URH9Yuxio",132,1411055741990019075,15,07/02,WoW,147,07/2,07/0
0,"Prepare to enter the Sanctum of Domination... if you dare... ☠

#Shadowlands https://t.co/uqnucjeVJh",690,1411055701959528454,65,07/02,WoW,755,07/2,07/0
0,@Ranger_Elvira She needs all the support she can get.,4,1410763830892929025,0,07/02,WoW,4,07/2,07/0
0,@archonine Save your legs and mount up.,2,1410763704090697730,0,07/02,WoW,2,07/2,07/0
